ofteco	kategorio	tipo	Usonangla radikvorto (Longe / sinonimo / alternativo) (tipo)	Longe / sinonimo / alternativo	EO preferata termino	fonto EO	fonto 2 EO	fonto 3 EO	fonto 4 EO	EO alternativo 1	fonto EO alternativo 1	fonto EO alternativo 2	EO alternativo 2	fonto EO alternativo 2	NL type	NL aanbevolen term	NL %	bron NL	alt 1 bron NL	alt 2 bron NL	NL alternatief	betrouwbare bron NL alt	FR type	FR terme conseillé	Accepté	source 1 FR conseillé	source 2 FR conseillé	source 3 FR conseillé	FR alternative	source FR alternative	PL tipo	Pola konsilinda termino	fonto PL konsilinda	PL alternativa termino	fonto PL alternativo
			unsubscribe (verbo) 		malaboni	KompLeks	ReVo									uitschrijven	100%		mailing Uniweb																
			unswizzle (verbo) 		malreferenci																			effectuer un réagencement inverse des données en surface											
			untitled (adj.) 		sentitola	OOo										naamloos	100%	Microsoft																	
			unused (adj.) 		neuzata											ongebruikte																			
			unversioned (adj.) 		sen versikontrolo	Bertilo																													
			unvisited link (adj.) 		nevizitita ligilo	Firefox																													
			unwanted software (subst.) 		nedezirata programaro											ongewenste software								logiciel indésirable								unerwünschte Software			
			unwind (verbo) 		disvolvi	Bertin																													
			unzip (verbo) 		maldensigi	OOo				malkompaktigi						uitpakken																			
			unzoom (verbo) 		malzomi	KompLeks										uitzoomen																			
			up and running (subst.) 		aktiva kaj funkcianta											actief en werkend																			
			update (verbo) 		ĝisdatigi / gxisdatigi	KompLeks	OOo	KompList		aktualigi	KompVort					bijwerken					opwaarderen			mettre à jour								aktualisieren			
			update (subst.) 		ĝisdatigo / gxisdatigo	KompLeks				aktualigo	Bertin				de	bijgewerkte versie	80%	Stichting						mise à jour											
			update list (subst.) 		listo de ĝisdatigoj / listo de gxisdatigoj																			liste mise à jour											
			update package (subst.) 		ĝisdatiga pako / gxisdatiga pako					ĝisdatiga pakaĵo						updatepakket								mise à jour								Updatepaket			
			update query (subst.) 		ĝisdatiga informpeto / gxisdatiga informpeto											bijwerkquery								requête Mise à jour								Aktualisierungsabfrage			
			updating (subst.) 		ĝisdatigo / gxisdatigo	TekVort				aktualigo	KompBaz																								
			upgrade (verbo) 		promocii	KompLeks	OOo	TekVort		plibonigi	KompList					een verbeterde versie installeren	80%	Stichting			upgraden			mettre à niveau								aktualisieren auf			
			upgrade (subst.) 		promocia eldono					pliboniga eldono	KompList				de	verbeterde versie	80%	Stichting						mise à niveau								Upgrade			
			upgrade training (subst.) 		promocia trejnado																														
			uplink (subst.) 																					liaison montante											
			upload (verbo) 		alŝuti / alsxuti	PIV2002	KompLeks	ReVo	KompList	surinterretigi						publiceren	100%	Microsoft	Telenet		uploaden			téléverser		office québécois de la langue française			télécharger vers le serveur			hochladen			
			upload (subst.) 		alŝuto / alsxuto																			téléversement					téléchargement vers le serveur						
			uploader (subst.) 		alŝutilo / alsxutilo	Ipernity																													
			upper (adj.) 		supra	TekVort																													
			upper case (adj.) 		majuskla	ReVo	KompList			grandaj literoj					de	hoofdletters	100%	Microsoft																	
			upper case (subst.) 		majuskloj	ReVo	OOo								de	hoofdletters	100%	Microsoft														Großschreibung			
			UPS (mallon.) 		vicnutrilo	KompLeks																													
			upsample (subst.) 																																
			upstream (adj.) 		alŝuta kapacito  / alsxuta kapacito 	Maŭro																													
			uptime (subst.) 		daŭro de funkciado / dauxro de funkciado																														
			up-to-date (up to date) (adj.) 		ĝisdata / gxisdata	KompLeks										bijgewerkt	80%	Stichting																	
			upward compatible (subst.) 		kongrua plien	KompLeks	TekVort																												
			URL (mallon.) 		reteja adreso					unuforma risurca lokindiko	Kompleks				het	internetadres	100%				URL		une	adresse universelle	100%	jounal officiel									
			URL smashing (subst.) 													URL-koppositie								compression des URL								URL-Abgleich			
			usability (subst.) 		afabligo					uzeblo					de	gebruiksvriendelijkheid	100%	Stichting																	
			usability design (subst.) 		afabliga fasonado					afabliga dizajno			fasonado																						
			usability testing (subst.) 		afabligo-testado																														
			usage (subst.) 		uzo	Bertin				utilo	Bertin																								
			usage analysis (subst.) 		analizo de uzado											gebruiksanalyse								analyse de l'utilisation								Verwendungsanalyse			
			usage data (subst.) 		datumoj pri uzado											gebruiksgegevens								données d'utilisation								Verwendungsdaten			
			usage scenario (subst.) 		scenaro de uzado											gebruiksscenario								scénario d'usage								Verwendungsszenario			
			USB (universal serial bus) (mallon.) 		USB	Petro Desmet										USB																			
			USB flash drive (subst.) 		poŝmemorilo / posxmemorilo	Petro Desmet				memorbastoneto					de	USB-flashstation	100%															USB-Flashlaufwerk			
			USB keyboard (subst.) 		USB-klavaro																														
			USB mouse (subst.) 		USB-muso																														
			USB port (subst.) 		USB-pordo					konektilo de tipo USB						USB-poort								port USB								USB-Anschluss			
			USB stick (subst.) 		poŝmemorilo / posxmemorilo	Petro Desmet				memorbastoneto																									
			use case (subst.) 																					cas d'usage								Anwendungsfall			
			use error (user error, human error) (subst.) 		misuzo																														
			use license (subst.) 		permesilo																			licence d'utilisation								Nutzungslizenz			
			used computer (subst.) 		brokanta komputilo																														
			Usenet (subst.) 		forumaro	TekVort																													
			user (subst.) 		uzanto	KompLeks	TekVort								de	gebruiker	100%						un	utilisateur								Benutzer			
			user account (subst.) 		konto de uzanto											gebruikersaccount								compte d'utilisateur								Benutzerkonto			
			user administration (subst.) 		administrado de uzantoj																														
			user agent (subst.) 		klienta aplikaĵo / klienta aplikajxo																														
			user base (subst.) 		nombro de uzantoj																														
			user control (subst.) 													gebruikersbesturingselement								contrôle utilisateur								Benutzersteuerelement			
			user data (userdata) (subst.) 		datumoj de uzanto											gebruikersgegevens	100%																		
			user environment (subst.) 		medio (de uzanto)										de	gebruikersomgeving																			
			user experience (subst.) 		spertoj de uzantoj											gebruikerservaring																			
			user-friendly (user friendly) (adj.) 		afabla	PIV2002	KompLeks	ReVo		uz-afabla						gebruiksvriendelijk																			
			user group (subst.) 		grupo de uzantoj											gebruikersgroep								groupe d'utilisateurs								Benutzergruppe			
			user icon (subst.) 		piktogramo de uzanto											gebruikerspictogram																			
			user id (user identifier) (subst.) 		uzantnumero	TekVort	Vikipedio								het	gebruikersnummer	100%	Wikipedia						identificateur d'utilisateur								Benutzer-ID			
			user interface (subst.) 		fasado	ReVo				(uzant)interfaco					de	gebruikersomgeving	100%	Stichting																	
			user interface expert (interface expert, interface ergonomist) (subst.) 		fasada ergonomiisto																		un	ergonome Web											
			user interface language (subst.) 		lingvo de fasado											taal van gebruikersinterface								langue de l'interface utilisateur								Sprache der Benutzeroberfläche			
			user license (subst.) 		permesilo										de	gebruikerslicentie	100%						la	licence d'utilisation											
			user locale (subst.) 		lokaĵaro de uzanto / lokajxaro de uzanto											landinstellingen voor de gebruiker								paramètres régionaux utilisateur								Benutzergebietsschema			
			user manager (subst.) 		administrilo de uzantoj											gebruikersbeheer								gestionnaire des utilisateurs								Benutzer-Manager			
			user manual (subst.) 		manlibro por uzantoj										het	gebruikershandboek	100%				gebruikershandleiding		un	manuel											
			user mode (subst.) 		uzantreĝimo / uzantregximo	Bertin										gebruikersmodus								mode utilisateur								Benutzermodus			
			user name (username) (subst.) 		salutnomo	KompLeks	NL-EO 4	TekVort		uzantnomo	FEL				de	gebruikersnaam	100%						le	nom d'utilisateur								Benutzername			
			user object (subst.) 		uzantoobjekto										het	gebruikersobject		Microsoft																	
			user password (subst.) 		pasvorto de uzanto											gebruikerswachtwoord								mot de passe de l'utilisateur								Benutzerkennwort			
			user profile (userprofile) (subst.) 		uzantoprofilo										het	gebruikersprofiel	100%							profil utilisateur								Benutzerprofil			
			user quota (subst.) 		uzantokvoto																														
			user restrictions (subst.) 		uzantolimigoj											gebruikersbeperkingen																			
			user rights (subst.) 		rajtoj de uzanto											gebruikersrechten								droits de l'utilisateur								Benutzerrechte			
			user role (subst.) 		uzantorolo											gebruikersrol								rôle d'utilisateur								Benutzerrolle			
			user settings (subst.) 		agordoj de uzanto											gebruikersinstellingen																			
			user-centered (subst.) 		afabla																														
			user-centered design (subst.) 		afabla fasonado																														
			user-defined (user defined) (subst.) 		propre difinita											door de gebuiker bepaald	100%																		
			user-defined field (subst.) 		propre difinita kampo											door de gebruiker gedefinieerd veld								champ défini par l'utilisateur 								benutzerdefiniertes Feld			
			user-defined object (subst.) 		propre difinita objekto											door de gebruiker gedefinieerd object								objet défini par l'utilisateur								benutzerdefiniertes Objekt			
			user-defined style (subst.) 		propre difinita stilo											door de gebruiker gedefinieerd opmaakprofiel								style défini par l'utilisateur								benutzerdefinierte Formatvorlage			
			user-defined type (subst.) 		propre difinita speco											door de gebruiker gedefinieerd type																			
			user-generated (adj.) 		de uzanto kreita																														
			user-generated content (subst.) 		de uzanto kreita enhavo																														
			user-level security (subst.) 		uzantnivela sekureco											beveiliging op gebruikersniveau								sécurité au niveau utilisateur								Sicherheit auf Benutzerebene			
			user-preferred interface language (subst.) 		de uzanto preferita interfaclingvo											door de gebruiker ingestelde interfacetaal																benutzerdefinierte Sprache der Oberfläche			
			user's guide (user guide, manual) (subst.) 		manlibro por uzantoj											gebruikersgids								guide de l'utilisateur								Benutzerhandbuch			
			user-specified (adj.) 		difinita de uzanto	Ipernity																													
			user test (subst.) 		testado pere de uzanto																														
			usher in (verbo) 		enmemorigi	Bertin																													
			utility (program) (subst.) 		utilaĵo / utilajxo	KompLeks	FEL	TekVort															les	utilitaires											
			vacation message (subst.) 		feria mesaĝo / feria mesagxo										het	vakantiebericht																			
			valid (adj.) 		valida	KompLeks	TekVort									goed functionerend	100%	Van Dale																	
			valid XML (subst.) 		valida XML											geldige XML								XML valide								gültiges XML-Dokument, gültiges XML			
			validate (verbo) 		validigi											valideren								valider								überprüfen			
			validation (subst.) 		validigo	OOo	Drupalo	Firefox		programkontrolo	KompLeks	TekVort				validatie								validation								Gültigkeit			
			validation test (subst.) 		testo de valideco																			test de validation								Validierungstest			
			validity (subst.) 		valideco	Bertin	Firefox																												
			value (subst.) 		valoro	KompLeks	ReVo	OOo	Pekoteko						de	waarde								valeur								Wert			
			value mapping (subst.) 		valoromapigo											waardetoewijzing								mise en correspondance des valeurs								Wertzuordnung			
			value model (subst.) 		valormodelo											waardemodel								modèle de valeur								Wertmodell			
			value parameter (subst.) 		pasigo per valoro	TekVort				pervalora parametro	TekVort						100%																		
			value substitution (subst.) 		anstataŭigo de valoro / anstatauxigo de valoro											waardevervanging								remplacement de la valeur								Ersetzen von Werten			
			value type (subst.) 		speco de valoro											waardetype								type valeur								Wertetyp			
			valueless (adj.) 		senvalora	TekVort				sensignifa	TekVort																								
			variable (subst.) 		variablo	KompLeks	ReVo	KompList	Pekoteko																										
			variable data (subst.) 		varieblaj datumoj																														
			variable declaration (subst.) 		variablodeklaro	KompLeks	TekVort																												
			variable-length code (subst.) 		varilonga kodo	TekVort																													
			variable-length record (subst.) 		varilonga rikordo	Bertin																													
			variable-point representation (subst.) 		varikoma prezento	Maŭro																													
			variance (subst.) 		varieco											afwijking								écart								Abweichung			
			variation (variant) (subst.) 		variaĵo / variajxo	KDE	TekVort								de	afwisseling					variatie														
			variation of constants (subst.) 		variigo de konstantoj	TekVort																													
			various (adj.) 		diversaj	OOo																													
			vary (verbo) 		varii	TekVort										afwisselen					variëren														
			vector (subst.) 		vektoro	KompLeks	ReVo	TekVort																											
			vector font (subst.) 		vektora tiparo											vectorlettertype								police vectorielle								Vektorschriftart			
			vector graphics (subst.) 		vektora grafiko	KompLeks										vectorafbeeldingen								graphique vectoriel								Vektorgrafik			
			vector mask (subst.) 		vektora masko										het	vectormasker		Adobe																	
			vector space (subst.) 		vektora spaco	KompLeks																													
			vectorization (vectorisation) (subst.) 		vektorigo	Maŭro																													
			velocity (subst.) 		rapido	Edmundo										snelheid								rapidité								Geschwindigkeit			
			vendor (subst.) 		vendisto																														
			vendor lock-in (subst.) 		vendisto-dependiĝo / vendisto-dependigxo																														
			vendor-dependent (adj.) 		vendisto-dependa																														
			verification (subst.) 		programkontrolo	KompLeks				kontrolado	Firefox																								
			verifier (subst.) 		kontrolilo	Bertin																													
			verify (verbo) 		kontroli	Bertin																													
			versatile (adj.) 		diversutila	Bertin																													
			version (subst.) 		versio	PIV2002	KompLeks	KDE	Bertilo	eldono	KompLeks		redakcio	KompLeks	de	versie							la	version								Version			
			version control (subst.) 		versikontrolo	Bertilo																		contrôle de version								Versionskontrolle			
			version control system (subst.) 		versikontrola sistemo	Denizo																													
			version incompatibility (subst.) 		versia malkongruo																														
			version policy (subst.) 		versiopolitiko											versiebeleid								stratégie de version								Versionsrichtlinie			
			versioned (adj.) 		kun versikontrolo	Bertilo																													
			vertical bar (subst.) 		vertikala streko	TekVort										verticale streep								barre verticale								senkrechter Strich			
			vertical line (subst.) 		vertikala linio	Lode VDV				vertikalo	ReVo	TekVort																							
			vertical offset (subst.) 		vertikala deŝovo / vertikala desxovo											verticale offset								décalage vertical								vertikaler Offset			
			vertical row (subst.) 		vertikala vico	Lode VDV				vertikalo	ReVo	TekVort																							
			white-box testing (white-box testing) (subst.) 		vitroskatola testado	KompLeks	Aleksey Timin			testado de la interna strukturo de programaro	Yves																								
			video (subst.) 		vidbendaparato					vidbendregistrilo			magnetoskopo	Vikipedio																					
			video buffer (subst.) 		videobufro											videobuffer								tampon vidéo											
			video card (videocard) (subst.) 		vidkarto	Vikipedio				videokarto					de	videokaart							une	carte vidéo											
			video chat (videochat) (subst.) 		retbabilado kun video												100%																		
			video conversation (subst.) 		videokonversacio											videogesprek								conversation vidéo								Videounterhaltung			
			video email (video e-mail) (subst.) 		video-retmesaĝo / video-retmesagxo																		un	courriel vidéo											
			video game (subst.) 		videoludo	Chuck Smith																													
			video podcast (VODcast) (subst.) 		vidpodkasto	Farbskatol																													
			video RAM (subst.) 		vidmemoro					videomemoro	TekVort				het	geheugen van de videokaart					VRAM														
			video message (subst.) 		videomesaĝo / videomesagxo										het	videobericht		Microsoft																	
			video tape (subst.) 		vidbendo	PMEG									de	videoband																			
			video tutorial (videotutorial) (subst.) 		video-instruilo																														
			video-conferencing (videoconferencing, video conferencing) (subst.) 		telekunsidado					vidtelekonferenco	Maŭro					televergaderen		Van Dale			videoconferencing	Van Dale													
			video-on-demand (subst.) 		laŭpeta filmo / lauxpeta filmo	Maŭro										video op verzoek																			
			view (subst.) 		vido	OOo				montro					het	weergave								affichage								Ansicht			
			view (verbo) 		vidigi	OOo				montri			spekti	Lode VDV		weergeven								afficher								anzeigen			
			view state (subst.) 		vidostato					montrostato						weergavestatus								état d'affichage								Ansichtstatus			
			view type (subst.) 		speco de vido					montrotipo						weergavetype								type d'affichage								Ansichtstyp			
			viewer (subst.) 		vidigilo					spektilo	Lode VDV		vidigilo	KompLeks	het	weergaveprogramma							un	visionneur	100%	jounal officiel	visualiseur (de fichier)								
			viewport (subst.) 		vidujo										het	zichtvenster	100%	VW																	
			virtual (adj.) 		virtuala	PIV2002	KompLeks	TekVort								virtueel								virtuel								virtuell			
			virtual address (subst.) 		virtuala adreso	KompLeks	TekVort	Bertin								virtueel adres								adresse virtuelle								virtuelle Adresse			
			virtual classroom (subst.) 		virtuala lerneja klaso										het	virtueel klaslokaal																			
			virtual desktop (subst.) 		virtuala labortablo										de	virtuele desktop			Tweakers.net					répertoire virtuel								virtuelles Verzeichnis			
			virtual disk (subst.) 		virtuala disko	KompLeks	KompList	TekVort																											
			virtual folder (subst.) 		virtuala dosierujo											virtuele map								dossier virtuel								virtueller Ordner			
			virtual art gallery (viirtual gallery, cybergallery) (subst.) 		virtuala artgalerio																		une	galerie d'art virtuelle		office québécois de la langue française									
			virtual hard disk (subst.) 		virtuala fiksita disko					virtuala durdisko						virtuele harde schijf								disque dur virtuel								virtuelle Festplatte			
			virtual IP address (subst.) 		virtuala IP-adreso											virtueel IP-adres								adresse IP virtuelle								virtuelle IP-Adresse			
			virtual key code (subst.) 		virtualklava kodero	Maŭro										virtuele sleutelcode								code de touche virtuelle								virtueller Tastencode			
			virtual keyboard (subst.) 		virtuala klavaro																														
			virtual LAN (subst.) 		virtuala loka reto											virtueel lokaal netwerk								réseau local virtuel								virtuelles LAN			
			virtual machine (subst.) 		virtuala maŝino / virtuala masxino	TekVort										virtuele machine								machine virtuelle								virtueller Computer			
			virtual memory (subst.) 		virtuala memoro	KompLeks	TekVort	Bertin							het	virtueel geheugen								mémoire virtuelle								virtueller Arbeitsspeicher			
			virtual memory size (subst.) 		virtuala grando de memoro											grootte van virtueel geheugen								taille de la mémoire virtuelle								Größe des virtuellen Arbeitsspeichers			
			virtual network (subst.) 		virtuala reto											virtueel netwerk								réseau virtuel								virtuelles Netzwerk			
			virtual printer memory (subst.) 		virtuala presmemoro					virtuala printmemoro						virtueel printergeheugen								mémoire virtuelle de l'imprimante								virtueller Druckerspeicher			
			virtual private network (subst.) 		virtuala privata reto											virtueel particulier netwerk								réseau privé virtuel								Virtuelles Privates Netzwerk			
			virtual reality (subst.) 		virtuala realo	KompLeks	FEL	KompList							de	virtuele realiteit	100%				virtual reality		la	réalité virtuelle											
			virtual server (subst.) 		virtuala servilo											virtuele server								serveur virtuel								virtueller Server			
			virtual storage (subst.) 		virtuala memoro	TekVort											100%																		
			virus (subst.) 		komputila viruso	KompLeks	ReVo	NL-EO 4	TekVort						het	computervirus								virus								Virus			
			virus protection (subst.) 		kontraŭvirusa protektado / kontrauxvirusa protektado											bescherming tegen virussen								protection antivirus								Virenschutz			
			visibility (subst.) 		videblo											zichtbaarheid								visibilité								Sichtbarkeit			
			visible character (subst.) 		videbla signo	TekVort											100%																		
			visible grid (subst.) 		videbla krado	OOo																													
			visited link (subst.) 		vizitita ligilo	OOo	Firefox																												
			visual display unit (subst.) 		ekrano	Edmundo																													
			visual editing (subst.) 		vida redaktado											visueel bewerken								modification sur place											
			visual interface (subst.) 		vida interfaco											visuele interface								interface graphique								grafische Benutzeroberfläche			
			visual tree (subst.) 		vida arbo											visuele structuur								arborescence d'éléments visuels								visuelle Struktur			
			visualization (visualisation) (subst.) 		bildigo	Lode VDV																		visualisation								Visualisierung			
			visualization tool (visualisation tool) (subst.) 		bildigilo	Lode VDV																													
			vocabulary (subst.) 		vortprovizo	Drupalo																													
			voice command (subst.) 		voĉkomando / vocxkomando											spraakopdracht								commande vocale								Stimmbefehl			
			voice command mode (subst.) 		voĉkomanda reĝimo / vocxkomanda regximo											spraakopdrachtmodus								mode commande vocale								Stimmbefehlmodus			
			voice comment (subst.) 		voĉa komento / vocxa komento											ingesproken commentaar																gesprochener Kommentar			
			voice mail (subst.) 		voĉa mesaĝo / vocxa mesagxo																			messagerie vocale											
			voice message (subst.) 		voĉa mesaĝo / vocxa mesagxo											ingesproken bericht								message vocal								Sprachnachricht			
			voice over IP (subst.) 		retotelefonado											telefoneren over internet																Telefonieren über Internet			
			voice recognition (subst.) 		parolrekono	Edmundo										spraakherkenning								reconnaissance vocale								Spracherkennung			
			voicecontrol (voice control) (adj.) 		parolregata										de	stembesturing		Stichting																	
			voicemail (voice mail) (subst.) 		parolita mesaĝo / parolita mesagxo										de	internetbellen	100%							messagerie vocale											
			void (adj.) 		vaka	KompLeks											100%																		
			void (verbo) 		vakigi											ongeldig maken								annuler								stornieren			
			VOIP (voice over IP) (mallon.) 		retotelefonado																														
			volatile (adj.) 		variema	KompLeks	TekVort			nepermanenta	Pekoteko																								
			volatile memory (subst.) 		energi-dependa memoro	KompLeks	TekVort			nepermanenta memoro	Pekoteko	Bertin																							
			voltage (subst.) 		tensio																														
			voltage level (subst.) 		tensinivelo	Bertin																													
			volume (computer) (subst.) 		datumportilo	Maŭro				portilo	KompLeks	TekVort				volume								volume								Volume			
			volume (sound) (subst.) 		sonforteco											volume								volume								Lautstärke			
			volume control button (subst.) 		agordila butono pri sonforteco										de	volumeregelingknop																			
			volume label (subst.) 		portil-etikedo					portilmarko	KompLeks	TekVort																							
			volume leveling (subst.) 		laŭtecnivelado / lauxtecnivelado											volumeniveauafvlakking								égalisation du volume								Lautstärkeregelung			
			volume license (subst.) 		laŭkvanta permesilo / lauxkvanta permesilo											volumelicentie								licence en volume								Volumenlizenz			
			volume mount point (subst.) 		voluma muntopunkto											volumekoppelpunt								point de montage de volume								Volumebereitstellungsdienst			
			von Neumann architecture (subst.) 		Neŭmana arkitekturo / Neuxmana arkitekturo	TekVort																													
			vote (verbo) 		voĉdoni / vocxdoni	Facebook																													
			VPN (Virtual Private Network) (mallon.) 		VPR – virtuala privata reto																														
			VPN client (subst.) 		VPR-kliento											VPN-client								client VPN								VPN-Client			
			VPN server (subst.) 		VPR-servilo											VPN-server								serveur VPN								VPN-Server			
			VRAM (mallon.) 		videomemoro	KompLeks	TekVort																												
			vulnerability (subst.) 		vundebleco										de	beveiligingsprobleem								vulnérabilité								Sicherheitsrisiko			
			wafer (subst.) 		splito	PIV2002																													
			wafer prober (subst.) 		splito-provilo																														
			wait (verbo) 		atendi	KompLeks																													
			wait function (subst.) 		atendofunkcio											wachtfunctie																Wartefunktion			
			wait state (subst.) 		atendostato											wachtstatus								état d'attente								Wartezustand			
			walkman (subst.) 		promenkasedilo										de	walkman																			
			walktrough (subst.) 		prezento (paŝo post paŝo) de dokumento / prezento (pasxo post pasxo) de dokumento																														
			wall style (subst.) 		murstilo										de	muurstijl	60%	VW																	
			wallpaper (subst.) 		ekranfono										de	bureaubladachtergrond	100%							papier peint								Hintergrundbild			
			WAN (mallon.) 		malloka reto	KompLeks	ReVo										100%																		
			warez (subst.) 		programaro retpirata																			logiciels piratés		Office québécois de la langue française									
			warm boot (subst.) 		varma praŝargo / varma prasxargo											warm opstarten								démarrage à chaud								Warmstart			
			warm reboot (subst.) 		varma restartigo	KompLeks	TekVort			parta restarto	KompList																								
			warm restart (subst.) 		varma restarto																														
			warm start (subst.) 		varma starto											warm opstarten								démarrage à chaud								Warmstart			
			warming up (subst.) 		varmiĝado / varmigxado	OOo																													
			warning (subst.) 		averto	KompLeks	Maŭro			avertmesaĝo	OOo				de	waarschuwing																			
			warning level (subst.) 		avertonivelo											waarschuwingsniveau								niveau d'avertissement								Warnstufe			
			waste instruction (subst.) 		senefika instrukcio																														
			watch dog (subst.) 		tempogardilo	Bertin																													
			watchlist (subst.) 		atentaro	Vikipedio									de	volglijst	100%	Wikipedia																	
			watercooled (adj.) 		malvarmigita per akvo											watergekoeld																			
			watermark (subst.) 		akvomarko	OOo				filigrano	Petro Desmet					watermerk								filigrane								Wasserzeichen			
			wavelength (subst.) 		ondolongo											golflengte								longueur d'onde								Wellenlänge			
			weak password (subst.) 		malforta pasvorto											zwak wachtwoord								mot de passe faible								unsicheres Kennwort			
			wearable computing device (subst.) 		portebla aparataro																														
			weather bar (subst.) 												de	weerbalk																			
			web (subst.) 		reto										het	web	100%																		
			web accelerator (subst.) 		reta plirapidigilo																		un	accélérateur Web											
			web address (subst.) 		retadreso											webadres								adresse Web								Webadresse			
			web advertising (online advertising) (subst.) 		enreta reklamo																			publicité en ligne											
			web advertising broker (web broker, web midia broker) (subst.) 		vendisto de reta reklamo																		un	courtier en publicité Web											
			web application (subst.) 		retaplikaĵo / retaplikajxo											webtoepassing							une	application Web								Webanwendung			
			web archive (subst.) 		reta arkivo											webarchief								archive Web								Webarchiv			
			web authoring tool (subst.) 		retpaĝoredaktilo / retpagxoredaktilo	Lode VDV																													
			web browser (webbrowser) (subst.) 		foliumilo	KompLeks	Abiword			TTT-legilo	PIV2002	KDE	retfoliumilo		de	webbrowser					webverkenner		un	navigateur web								Webbrowser			
			web chart (subst.) 		reta diagramo	Cindio																													
			web client (subst.) 		retkliento											webclient																Webclient			
			web conference (subst.) 		reta konferenco											webvergadering								conférence Web								Webkonferenz			
			web content filter (subst.) 		retenhava filtrilo	Maŭro										filter voor webinhoud								filtre de contenu Web								Webinhaltsfilter			
			web designer (webdesigner) (subst.) 		retfasonisto					aspektigisto																									
			web farm (subst.) 		retservilaro											webfarm								batterie de serveurs Web								Webfarm			
			web feed (subst.) 		retfluo											webfeed								flux Web								Webfeed			
			web help (webhelp) (subst.) 		rethelpilo																														
			web hosting (subst.) 		retejgastigo											webhosting	100%		Wikipedia																
			web layout (subst.) 		reta aranĝo / reta arangxo																														
			web magazine (subst.) 		retrevuo											elektronisch tijdschrift								magazine Web								elektronisches Magazin			
			web master (webmaster) (subst.) 		retejestro	Drupalo				retestro					de	webmaster		Van Dale					un	administrateur de site	100%	jounal officiel			webmestre						
			web page (webpage) (subst.) 		retpaĝo / retpagxo	Abiword				TTT-paĝo	KompLeks	OOo			de	webpagina		Van Dale			internetpagina		Van Dale	page Web								Webseite			
			web query (subst.) 		reta informpeto											webquery								requête sur le Web								Webabfrage			
			web restrictions (subst.) 		retaj limigoj											beperkingen van internetgebruik								restrictions d'accès au Web								Webeinschränkungen			
			web root (subst.) 		reta radiko											basismap								racine Web								Webstamm			
			web server (subst.) 		retservilo											webserver								serveur Web								Webserver			
			web service (subst.) 		retservo											webservice								service Web								Webdienst			
			web site (website) (subst.) 		retejo	ReVo	Vikipedio			TTT-ejo	KompLeks		retpaĝaro		de	webstek		Van Dale			weblocatie	Van Dale		site Web								Website			
			web space (webspace) (subst.) 		retspaco										de	webruimte		Telenet																	
			web syndication (subst.) 		reta abonrilato	Vikipedio																													
			web version (webversion) (subst.) 		reta versio										de		100%																		
			webbased (adj.) 		reta					interreta																									
			web-based e-mail (subst.) 		retkesto																											webbasierte E-Mail			
			webcam (web cam) (subst.) 		retkamerao	ReVo	TekVort	FEL							de	webcam	80%	Wikipedia			internet videocamera														
			webcast (web cast) (subst.) 		elsendo perinterreta												100%						une	webémission		office québécois de la langue française									
			webcast (subst.) 		elsendi per interreto																			webdiffuser		office québécois de la langue française									
			webcrawler (spider) (subst.) 		reta indeksroboto					retserĉilo														robot d'indexation											
			web-enabled application (subst.) 		reta aplikaĵo / reta aplikajxo											webtoepassing								application Web								Webanwendung			
			webinar (subst.) 		retseminario																														
			weblink (web link) (subst.) 		retligilo																														
			weblog (web log) (subst.) 		blogo	KompLeks	Vikipedio			reta taglibro													un	blogue											
			webmail (web mail) (subst.) 		enreta retpoŝto / enreta retposxto											webmail		Van Dale	Telenet																
			webmaster (subst.) 		retejestro																		un	webmestre		office québécois de la langue française									
			webquery (web query) (subst.) 		reta informpeto											webserver	100%	Van Dale																	
			webserver (web server) (subst.) 		retservilo											webserver																			
			webshop (subst.) 		retbutiko										de	webwinkel		Van Dale																	
			webspace (subst.) 																				un	espace Web											
			webvertising (subst.) 		retreklamo																														
			webzine (subst.) 		retrevuo										de	elektronisch tijdschrift								Webzine								E-Magazin			
			well-conditioned (adj.) 		bonkondiĉa / bonkondicxa	KompLeks											100%																		
			well-formed (adj.) 		bonforma	KompLeks										juist opgemaakt								bien formé								wohlgeformt			
			well-formed XML (subst.) 		bonforma XML											juist opgemaakte XML								XML bien formé								wohlgeformtes XML			
			well-ordered (adj.) 		bonorda	KompLeks																													
			what-if analysis (subst.) 		sea analizo 	Maŭro																		analyse de scénarios								Was-wäre-wenn-Analyse			
			wheel (subst.) 		rado	Bertin																													
			whitelist (white list) (subst.) 		blanka listo																		une	liste blanche		office québécois de la langue française									
			whitelist (verbo) 		listigi je blanka listo																														
			white paper (subst.) 		teknika dokumento											technisch document								livre blanc											
			whiteboard software (subst.) 		blanktabula programaro																			tableau blanc											
			whitespace (subst.) 		blankspaco																														
			whole (adj.) 		tuta																														
			whole number (subst.) 		entjero											geheel getal								nombre entier								ganze Zahl			
			wide area computer network (subst.) 		malloka reto	ReVo	TekVort																												
			wide area network (subst.) 		malloka reto	KompLeks	ReVo																	réseau étendu								Fernnetz (WAN)			
			widescreen (adj.) 		larĝekrana / largxekrana											breedbeeld																			
			widget (subst.) 		fenestraĵo / fenestrajxo	KompLeks	ReVo	KDE	TekVort							widget	100%																		
			widget toolkit (subst.) 		fenestraĵa ilaro / fenestrajxa ilaro																														
